# mark component_1_count component_2_count component_3_count total_fit_count data_count
0.0000000000e+00 1.2433366328e+03 8.5984629877e+02 3.3226193364e+02 2.4354448652e+03 2.2590000000e+03
1.0000000000e+00 1.1597277258e+03 7.6429937070e+02 5.8512384208e+01 1.9825394807e+03 1.0120000000e+03
2.0000000000e+00 1.2289037911e+03 7.8874433781e+02 9.1159123931e+01 2.1088072528e+03 1.0200000000e+03
3.0000000000e+00 1.3044286752e+03 8.1729582868e+02 1.3477395846e+02 2.2564984624e+03 9.6100000000e+02
4.0000000000e+00 1.3927549073e+03 8.5544195726e+02 1.9885299915e+02 2.4470498638e+03 1.0400000000e+03
5.0000000000e+00 1.3788486053e+03 8.1260862096e+02 5.9667393556e+01 2.2511246198e+03 2.5120000000e+03
6.0000000000e+00 1.4533493673e+03 8.3571903602e+02 8.8927628495e+01 2.3779960318e+03 1.4100000000e+03
7.0000000000e+00 1.5318474693e+03 8.6102497868e+02 1.2267423399e+02 2.5155466819e+03 1.3940000000e+03
8.0000000000e+00 1.6164367056e+03 8.9038825925e+02 1.6162174254e+02 2.6684467074e+03 1.3880000000e+03
9.0000000000e+00 1.6302736886e+03 8.6495294641e+02 6.2226782876e+01 2.5574534179e+03 1.5010000000e+03
1.0000000000e+01 1.7113651469e+03 8.8758116587e+02 9.0439726491e+01 2.6893860393e+03 3.4150000000e+03
1.1000000000e+01 1.7953531424e+03 9.1155033949e+02 1.1993108746e+02 2.8268345694e+03 2.1110000000e+03
1.2000000000e+01 1.8830878126e+03 9.3767398229e+02 1.4905546713e+02 2.9698172620e+03 1.9420000000e+03
1.3000000000e+01 1.9144341954e+03 9.2094671357e+02 6.5561889841e+01 2.9009427988e+03 1.9490000000e+03
1.4000000000e+01 2.0027061584e+03 9.4353742042e+02 9.3964314244e+01 3.0402078930e+03 2.0320000000e+03
1.5000000000e+01 2.0932194809e+03 9.6702162614e+02 1.2186740843e+02 3.1821085155e+03 4.5120000000e+03
1.6000000000e+01 2.1863616948e+03 9.9181101413e+02 1.4661962441e+02 3.3247923334e+03 2.6540000000e+03
1.7000000000e+01 2.2310781945e+03 9.8036575220e+02 6.9342230392e+01 3.2807861771e+03 2.4720000000e+03
1.8000000000e+01 2.3266564522e+03 1.0031788922e+03 9.8575554608e+01 3.4284108990e+03 2.6130000000e+03
1.9000000000e+01 2.4239857665e+03 1.0266189283e+03 1.2628882955e+02 3.5768935243e+03 2.5720000000e+03
2.0000000000e+01 2.5232509866e+03 1.0509209138e+03 1.4921475502e+02 3.7233866554e+03 5.7400000000e+03
2.1000000000e+01 2.5790191451e+03 1.0430623663e+03 7.3414761407e+01 3.6954962728e+03 3.4830000000e+03
2.2000000000e+01 2.6816326472e+03 1.0662586685e+03 1.0378964791e+02 3.8516809636e+03 3.1500000000e+03
2.3000000000e+01 2.7855531210e+03 1.0899101867e+03 1.3203031013e+02 4.0074936178e+03 3.1520000000e+03
2.4000000000e+01 2.8908661707e+03 1.1141589669e+03 1.5446075542e+02 4.1594858930e+03 3.2870000000e+03
2.5000000000e+01 2.9559573925e+03 1.1089236413e+03 7.7721491401e+01 4.1426025252e+03 7.1210000000e+03
2.6000000000e+01 3.0649581836e+03 1.1326065201e+03 1.0938285021e+02 4.3069475539e+03 4.2410000000e+03
2.7000000000e+01 3.1748116710e+03 1.1566248978e+03 1.3848746214e+02 4.4699240309e+03 3.6390000000e+03
2.8000000000e+01 3.2855511072e+03 1.1810702848e+03 1.6110438658e+02 4.6277257785e+03 3.8130000000e+03
