# mark data_count fit_count residual
0 2.2590000000e+03 2.4354448652e+03 -1.7644486521e+02
1 1.0120000000e+03 1.9825394807e+03 -9.7053948075e+02
2 1.0200000000e+03 2.1088072528e+03 -1.0888072528e+03
3 9.6100000000e+02 2.2564984624e+03 -1.2954984624e+03
4 1.0400000000e+03 2.4470498638e+03 -1.4070498638e+03
5 2.5120000000e+03 2.2511246198e+03 2.6087538017e+02
6 1.4100000000e+03 2.3779960318e+03 -9.6799603182e+02
7 1.3940000000e+03 2.5155466819e+03 -1.1215466819e+03
8 1.3880000000e+03 2.6684467074e+03 -1.2804467074e+03
9 1.5010000000e+03 2.5574534179e+03 -1.0564534179e+03
10 3.4150000000e+03 2.6893860393e+03 7.2561396072e+02
11 2.1110000000e+03 2.8268345694e+03 -7.1583456937e+02
12 1.9420000000e+03 2.9698172620e+03 -1.0278172620e+03
13 1.9490000000e+03 2.9009427988e+03 -9.5194279878e+02
14 2.0320000000e+03 3.0402078930e+03 -1.0082078930e+03
15 4.5120000000e+03 3.1821085155e+03 1.3298914845e+03
16 2.6540000000e+03 3.3247923334e+03 -6.7079233338e+02
17 2.4720000000e+03 3.2807861771e+03 -8.0878617712e+02
18 2.6130000000e+03 3.4284108990e+03 -8.1541089902e+02
19 2.5720000000e+03 3.5768935243e+03 -1.0048935243e+03
20 5.7400000000e+03 3.7233866554e+03 2.0166133446e+03
21 3.4830000000e+03 3.6954962728e+03 -2.1249627282e+02
22 3.1500000000e+03 3.8516809636e+03 -7.0168096363e+02
23 3.1520000000e+03 4.0074936178e+03 -8.5549361784e+02
24 3.2870000000e+03 4.1594858930e+03 -8.7248589298e+02
25 7.1210000000e+03 4.1426025252e+03 2.9783974748e+03
26 4.2410000000e+03 4.3069475539e+03 -6.5947553920e+01
27 3.6390000000e+03 4.4699240309e+03 -8.3092403093e+02
28 3.8130000000e+03 4.6277257785e+03 -8.1472577855e+02
29 3.9840000000e+03 4.6184551373e+03 -6.3445513735e+02
30 8.4680000000e+03 4.7900868925e+03 3.6779131075e+03
31 4.8620000000e+03 4.9594143031e+03 -9.7414303067e+01
32 4.4650000000e+03 5.1224214582e+03 -6.5742145821e+02
33 4.5280000000e+03 5.1181349333e+03 -5.9013493332e+02
34 4.5790000000e+03 5.2957647356e+03 -7.1676473563e+02
35 9.9650000000e+03 5.4701444117e+03 4.4948555883e+03
36 5.6560000000e+03 5.6371168613e+03 1.8883138745e+01
37 5.2330000000e+03 5.6354289332e+03 -4.0242893320e+02
38 5.0540000000e+03 5.8174148693e+03 -7.6341486932e+02
39 5.1850000000e+03 5.9951475121e+03 -8.1014751206e+02
40 1.1056000000e+04 6.1643893497e+03 4.8916106503e+03
41 6.5230000000e+03 6.1629092517e+03 3.6009074827e+02
42 5.7520000000e+03 6.3472932505e+03 -5.9529325048e+02
43 5.6720000000e+03 6.5263717840e+03 -8.5437178403e+02
44 5.8790000000e+03 6.6958345206e+03 -8.1683452059e+02
45 1.2593000000e+04 6.6920806729e+03 5.9009193271e+03
46 7.2720000000e+03 6.8766499592e+03 3.9535004082e+02
47 6.4520000000e+03 7.0548173327e+03 -6.0281733272e+02
48 6.3360000000e+03 7.2222214535e+03 -8.8622145353e+02
49 6.5210000000e+03 7.2135988380e+03 -6.9259883801e+02
50 1.3853000000e+04 7.3959655291e+03 6.4570344709e+03
51 7.7300000000e+03 7.5707987975e+03 1.5920120253e+02
52 7.0150000000e+03 7.7337077338e+03 -7.1870773382e+02
53 6.7470000000e+03 7.7175885077e+03 -9.7058850765e+02
54 6.6740000000e+03 7.8952481753e+03 -1.2212481753e+03
55 1.4384000000e+04 8.0642582404e+03 6.3197417596e+03
56 7.9610000000e+03 8.2201805101e+03 -2.5918051014e+02
57 7.5000000000e+03 8.1939524228e+03 -6.9395242276e+02
58 7.1510000000e+03 8.3644255953e+03 -1.2134255953e+03
59 7.0980000000e+03 8.5251204940e+03 -1.4271204940e+03
60 1.5277000000e+04 8.6716236112e+03 6.6053763888e+03
61 8.5670000000e+03 8.6327826428e+03 -6.5782642808e+01
62 7.7400000000e+03 8.7936862727e+03 -1.0536862727e+03
63 7.4150000000e+03 8.9437329148e+03 -1.5287329148e+03
64 7.2810000000e+03 9.0785010513e+03 -1.7975010513e+03
65 1.5811000000e+04 9.0247576144e+03 6.7862423856e+03
66 8.9450000000e+03 9.1739164791e+03 -2.2891647911e+02
67 7.9720000000e+03 9.3112023843e+03 -1.3392023843e+03
68 7.6040000000e+03 9.4322129345e+03 -1.8282129345e+03
69 7.6250000000e+03 9.3615214177e+03 -1.7365214177e+03
70 1.6153000000e+04 9.4970840141e+03 6.6559159859e+03
